repeat	model	auc	brier
62	clinical_lineages	0.48811188811188805	0.2091547499910033
62	clinical_lineages_pair	0.6062937062937063	0.19700623482478938
63	clinical	0.4552447552447553	0.19850858329348045
63	clinical_pair	0.5167832167832167	0.19993544153048973
63	clinical_lineages	0.49510489510489514	0.2089242979985144
63	clinical_lineages_pair	0.5643356643356644	0.20577078701762816
64	clinical	0.479020979020979	0.1957484328291892
64	clinical_pair	0.5916083916083916	0.1954822456988947
64	clinical_lineages	0.5363636363636364	0.20140011854684306
64	clinical_lineages_pair	0.6503496503496504	0.19410608969108112
65	clinical	0.4748251748251748	0.1971682081478494
65	clinical_pair	0.5811188811188812	0.1880648194664629
65	clinical_lineages	0.5146853146853146	0.20065321147463455
65	clinical_lineages_pair	0.6202797202797202	0.19187613256758795
66	clinical	0.48671328671328673	0.19529235520445945
66	clinical_pair	0.5762237762237762	0.19712438468665047
66	clinical_lineages	0.5531468531468531	0.19814806973075855
66	clinical_lineages_pair	0.6384615384615384	0.19717688043884313
67	clinical	0.493006993006993	0.19447360516135367
67	clinical_pair	0.6195804195804195	0.18782725922829602
67	clinical_lineages	0.5419580419580419	0.19539569412065189
67	clinical_lineages_pair	0.6650349650349651	0.18848087972830546
68	clinical	0.42447552447552445	0.20638838802799025
68	clinical_pair	0.5251748251748252	0.2022194573009668
68	clinical_lineages	0.5300699300699301	0.21205428628383852
68	clinical_lineages_pair	0.6048951048951049	0.20122684357350704
69	clinical	0.5405594405594405	0.19076171858573784
69	clinical_pair	0.6328671328671329	0.17881787729278878
69	clinical_lineages	0.5895104895104895	0.1935342409024346
69	clinical_lineages_pair	0.676923076923077	0.18040246380735858
70	clinical	0.39999999999999997	0.20350150409367046
70	clinical_pair	0.5818181818181818	0.19651236613617434
70	clinical_lineages	0.5006993006993008	0.20442128183898683
70	clinical_lineages_pair	0.644055944055944	0.1891158482930402
71	clinical	0.5587412587412588	0.18922666100803473
71	clinical_pair	0.6216783216783217	0.1805879602261698
71	clinical_lineages	0.6118881118881119	0.18899988622296873
71	clinical_lineages_pair	0.6692307692307692	0.17931667962368317
72	clinical	0.5265734265734265	0.19195571406387013
72	clinical_pair	0.6055944055944056	0.19146119157993868
72	clinical_lineages	0.5699300699300699	0.19908411991098163
72	clinical_lineages_pair	0.6454545454545455	0.19237678957141344
73	clinical	0.5174825174825175	0.1934691090336736
73	clinical_pair	0.6230769230769231	0.18332441665178295
73	clinical_lineages	0.558041958041958	0.19911636727584786
73	clinical_lineages_pair	0.6559440559440559	0.19003838284568056
74	clinical	0.4258741258741258	0.20309166956964286
74	clinical_pair	0.5692307692307692	0.19378964734147816
74	clinical_lineages	0.5209790209790209	0.20363791652876317
74	clinical_lineages_pair	0.6174825174825174	0.19349080692486806
75	clinical	0.5279720279720279	0.19150880814439897
75	clinical_pair	0.6125874125874126	0.18400651305079307
75	clinical_lineages	0.5783216783216782	0.19606942145783468
75	clinical_lineages_pair	0.665034965034965	0.18516951561740394
76	clinical	0.5041958041958041	0.19313921382354818
76	clinical_pair	0.6188811188811189	0.1862244778960833
76	clinical_lineages	0.5433566433566434	0.19961149586640253
76	clinical_lineages_pair	0.6405594405594405	0.187593411235819
77	clinical	0.49090909090909096	0.1986407324805021
77	clinical_pair	0.5986013986013985	0.19047352136571263
77	clinical_lineages	0.5293706293706293	0.2054382830558429
77	clinical_lineages_pair	0.6412587412587413	0.1894560913728536
78	clinical	0.5174825174825175	0.19295806416897393
