cohort	patient	gene	state	n_cells	positive_cells	pct_positive
GSE162454	OS_4	CCL25	Tumor_mesenchymal	1000	0	0.0
GSE162454	OS_5	CCL25	B_plasma	6	0	0.0
GSE162454	OS_5	CCL25	Endothelial	52	0	0.0
GSE162454	OS_5	CCL25	Fibroblast_MSC	55	0	0.0
GSE162454	OS_5	CCL25	Myeloid	2083	0	0.0
GSE162454	OS_5	CCL25	Osteoclast	82	0	0.0
GSE162454	OS_5	CCL25	T_NK	598	3	0.5016722408026756
GSE162454	OS_5	CCL25	Tumor_mesenchymal	124	0	0.0
GSE162454	OS_6	CCL25	B_plasma	466	4	0.8583690987124464
GSE162454	OS_6	CCL25	Endothelial	50	0	0.0
GSE162454	OS_6	CCL25	Fibroblast_MSC	190	0	0.0
GSE162454	OS_6	CCL25	Myeloid	471	0	0.0
GSE162454	OS_6	CCL25	Osteoclast	14	0	0.0
GSE162454	OS_6	CCL25	T_NK	966	1	0.10351966873706005
GSE162454	OS_6	CCL25	Tumor_mesenchymal	843	2	0.2372479240806643
GSE162454	OS_1	ACKR4	B_plasma	6	0	0.0
GSE162454	OS_1	ACKR4	Endothelial	20	0	0.0
GSE162454	OS_1	ACKR4	Fibroblast_MSC	46	1	2.1739130434782608
GSE162454	OS_1	ACKR4	Myeloid	1693	62	3.662138216184288
GSE162454	OS_1	ACKR4	Osteoclast	282	55	19.50354609929078
GSE162454	OS_1	ACKR4	T_NK	114	0	0.0
GSE162454	OS_1	ACKR4	Tumor_mesenchymal	839	2	0.23837902264600713
GSE162454	OS_2	ACKR4	B_plasma	13	0	0.0
GSE162454	OS_2	ACKR4	Endothelial	102	0	0.0
GSE162454	OS_2	ACKR4	Fibroblast_MSC	99	6	6.0606060606060606
GSE162454	OS_2	ACKR4	Myeloid	1072	8	0.7462686567164178
GSE162454	OS_2	ACKR4	Osteoclast	267	9	3.3707865168539324
GSE162454	OS_2	ACKR4	T_NK	318	0	0.0
GSE162454	OS_2	ACKR4	Tumor_mesenchymal	1129	1	0.08857395925597875
GSE162454	OS_3	ACKR4	B_plasma	4	0	0.0
GSE162454	OS_3	ACKR4	Endothelial	71	0	0.0
GSE162454	OS_3	ACKR4	Fibroblast_MSC	157	5	3.1847133757961785
GSE162454	OS_3	ACKR4	Myeloid	201	0	0.0
GSE162454	OS_3	ACKR4	Osteoclast	172	0	0.0
GSE162454	OS_3	ACKR4	T_NK	90	0	0.0
GSE162454	OS_3	ACKR4	Tumor_mesenchymal	2305	1	0.04338394793926247
GSE162454	OS_4	ACKR4	B_plasma	87	0	0.0
GSE162454	OS_4	ACKR4	Endothelial	68	0	0.0
GSE162454	OS_4	ACKR4	Fibroblast_MSC	115	13	11.304347826086957
GSE162454	OS_4	ACKR4	Myeloid	1228	8	0.6514657980456027
GSE162454	OS_4	ACKR4	Osteoclast	165	11	6.666666666666667
GSE162454	OS_4	ACKR4	T_NK	337	0	0.0
GSE162454	OS_4	ACKR4	Tumor_mesenchymal	1000	4	0.4
GSE162454	OS_5	ACKR4	B_plasma	6	0	0.0
GSE162454	OS_5	ACKR4	Endothelial	52	0	0.0
GSE162454	OS_5	ACKR4	Fibroblast_MSC	55	0	0.0
GSE162454	OS_5	ACKR4	Myeloid	2083	5	0.2400384061449832
GSE162454	OS_5	ACKR4	Osteoclast	82	9	10.975609756097562
GSE162454	OS_5	ACKR4	T_NK	598	0	0.0
GSE162454	OS_5	ACKR4	Tumor_mesenchymal	124	1	0.8064516129032258
GSE162454	OS_6	ACKR4	B_plasma	466	0	0.0
GSE162454	OS_6	ACKR4	Endothelial	50	0	0.0
GSE162454	OS_6	ACKR4	Fibroblast_MSC	190	1	0.5263157894736842
GSE162454	OS_6	ACKR4	Myeloid	471	1	0.21231422505307856
GSE162454	OS_6	ACKR4	Osteoclast	14	2	14.285714285714285
GSE162454	OS_6	ACKR4	T_NK	966	0	0.0
GSE162454	OS_6	ACKR4	Tumor_mesenchymal	843	5	0.5931198102016607
